Project Title,Project Description,Learning Outcomes for Students,Roles and Responsibilies of Student,Students' pre-requisites,Job Description for Student,Research Institute of Internship Supervisor,Department of Internship Supervisor,Name of Internship Supervisor,Workplace Address,What is the project's research category?,No. of Students Required
Flexible Ion Sensors for Health Monitoring,"There has been a surge in research on flexible ion-selective sensors for applications such as human, animal and plant health monitoring. These sensors can detect our bodies’ physiological conditions by monitoring sweat ions, such as sodium or chloride for dehydration. In such measurements, sensor accuracy is highly dependent on the stability of the reference electrode. While there have been several reports of flexible reference electrode, most suffer from drift due to leaching of electrode components. This project aims to develop stable reference electrodes through different printing, polymerisation, and electrochemical techniques.","1. Gain a good understanding of how ISEs work, and how ISE performance is measured
2. Independently perform experiments from formulation to fabrication and testing
3. Independently operate electrochemical testing equipment, and other basic chemical characterization tools
4. Independent and critical thinking skills, problem-solving skills, and teamwork are among the many other transferrable skills to be gained.","1. Execute tasks assigned by the supervisor with due diligence.
2. Comply to laboratory safety rules set by the institute.","1. Pursuing undergraduate studies in Bachelor's Degree in Chemistry, Chemical Engineering, Materials Science or any relevant degree.
2. Possess a proactive and positive learning attitude
3. Able to work both independently and in a team","1. Printing of basic electrode
2. Optimisation and characterisation of membrane
3.  Calibration and testing of ion-selective electrode",IMRE,SOF,Goh Simin Shermin,"2 Fusionopolis Way, Innovis, Singapore 138634",Physical Sciences,1
Machine Learning for Blood Viscosity & Cell Deformation,"The complex dynamics of cell motion & deformation are important in many microfluidics and cell biomechanics applications. These dynamics depend on parameters such as fluid viscosity ratio, shear rate and cell membrane properties. The resultant inter-cell interactions impact hydrodynamic diffusion and viscosity. Current numerical models fully resolve each cell which is expensive, or use simplified transport & rheological properties, which can be inaccurate. This project will use machine learning to infer more accurate blood viscosity and cell properties for improved modelling.","1. Student will acquire experience working with widely used general purpose scripting languages such as Python and Tensorflow.
2. Student should be able to explain how machine learning models such as neural networks work, and be able to write code to implement said techniques. This
should be transferable skills for any future projects the student might be interested in.
3. The student will also learn to run and interpret numerical simulation results (computational fluid dynamics in this project) on a Linux system.","1) Literature review
2) Processing and analysis of numerical simulation results for a single cell and suspension of cells at different shear rates in flow
3) Write and train an ML model to predict deformation for a single cell for different shear rates in flow
4) Write and train an ML model to predict viscosity for a suspension of blood cells at different shear rates in flow","1. Able to read literature and do literature review.
2. Familiar with Python programming.
3. Knowledge of data analytics/engineering.","1) Literature review
2) Processing and analysis of numerical simulation results for a single cell and suspension of cells at different shear rates in flow
3) Write and train an ML model to predict deformation for a single cell for different shear rates in flow
4) Write and train an ML model to predict viscosity for a suspension of blood cells at different shear rates in flow",IHPC,Fluid Dynamics,Ooi Chin Chun,"1 Fusionopolis Way, Connexis North, Singapore 138632",Engineering & Technology,1
Tailor design enzymes for natural product biosynthesis,"Biosynthesis of natural products has emerged as a competitive alternative to produce chemicals in a green and cost-effective manner. However, one challenge is many pathway enzymes of natural products are unidentified. In this project, we address the challenge by designing artificial pathway(s) to produce natural products. It involves engineering non-specific enzymatic activity towards the desired activity, leveraging on high-throughput assay development and enzyme design. The established workflow enables engineering more efficient biocatalysts for sustainable production of natural products.","The students will be exposed to cross-disciplinary research areas spanning biochemistry, protein engineering, metabolic engineering, and analytical chemistry. He or she will be trained to be proficient in molecular biology techniques such as gene assembly workflows, enzyme purification and characterization etc. Moreover, the intern will be trained to analyze and present scientific data, troubleshoot experiments and hypothesis testing. Teamwork and communication skills will also be sharpened.","•	Perform basic lab protocols such as DNA purification, bacterial culture, sample preparation etc.
•	Learn and apply the techniques of gene assembly and mutagenesis and expose to lab automation.
•	Innovate to improve lab protocols such as enzyme assays.
•	Documenting experimental procedures, analyzing the data and updating the team members the consolidated results","Biomedical Engineering, Chemical Engineering, Bioengineering, Chemical & BioMolecular Engineering, Biochemistry, Life sciences","We are seeking a proactive and responsible student, who is willing to embark on the exciting journey of metabolic engineering, synbio and protein engineering. Our team is developing advanced genetic engineering tools to rewire industrial microorganisms’ host metabolism to produce high-value secondary metabolites, such as terpenoids and phenolic compounds. In this position, you are expected to learn or practice the enabling techniques (such as PCR, DNA purification, Crispr-Cas9 genome editing etc) and applying them to test scientific hypotheses. In addition, you would gain valuable insights in an application-oriented scientific research laboratory. ",SIFBI,Strain Engineering,Chen Xixian,"31 Biopolis Way, Nanos level 6, ",Engineering & Technology,1
Acousto Microfluidics,"The human body comprises various substances, including DNA, proteins, and cells, each with dimensions spanning from nanometers to micrometers. Conventional laboratory equipment, designed for bulk lab-based experiments, falls short when it comes to exploring the properties of these individual entities. 
IME has pioneered a groundbreaking technology that employs precisely controlled sound waves to capture and manipulate bio-particles from the nanometer to micrometer scale. We invite you to join us in testing this revolutionary device and collaborating on the development of even more advanced iterations. In this project, we aim to create a cutting-edge system for acoustophoretic particle manipulation, achieved by incorporating PiezoMEMS-based acoustic devices into microfluidic channels. ","In this project, student will learn two techonogies. 
1. Acoustic MEMS device: Fundamental, acoustic MEMS device design & characterization
2. Microfluidic: Basic knowledge of microfluidics, acoustophoretic particle manipulation  ","The student will conduct acoustic MEMS device characterization, microfludic experiments, and analysis.",Knowledge and experience in microelectronics or MEMS,"1. MEMS acoustic device characterization (device level)
2. Integration of MEMS acoustic device and microfluidic channels 
3. Acousto microfluidic experiments (acoustophoretic particle manipulation)",IME,MEMS,Yul Koh,"4 Fusionopolis Way, Kinesis Tower, Level 10, Singapore 138635",Engineering & Technology,1
Al1-xScxN Devices for mm-Wave and Edge Computing,"Data communication is the key technologies in this coming big data era. Specifically, an emerging material with superior ferroelectric and piezoelectric properties, called ‘ScAlN’ (scandium aluminium nitride), will be systematically investigated by you to facilitate the demonstration of these novel devices. The deposition of ScAIN films will be optimized through multiscale modeling, surface and strain engineering, and machine learning, to achieve high quality ultrathin films with only a few nanometer thickness. On applications, you will be part of a team that aims to break-through the frequency limitation of acoustic filters devices. The filter devices that you will help to develop in this project are aimed at over 20GHz frequency (in the mmWave range for 6G and beyond and aerospace communication). Current acoustic filters can only achieve <6 GHz frequency. With delivery of this project, ScAlN-based filters will become one of the most promising and competitive solutions for the next-generation communication systems. ","In this project, the students will have access to the advanced microelectronic processes for MEMS devices, and learn the basic microelectronics manufacturing knowledge along with onsite experience in cleanrooms. This experience will benefit the students who would like to seek career oppotunities in this microelectronics area. The students will also learn how to perform the electrical testing of the devices and how to further analysis the large amount of data via coding or data process softwares. Along with supervision from senior scientists, the students will also learn basic knowledge about the 5G communication.  ","The following are the student's responsibilities:
1. To support the device fabrication, including 3D structure drawing, layout drawing, assist communication between different teams, micro-observations of films, process and devices, and so on.
2. To support the electrical characterization of the 5G filter devices. The student will need to operate the testing tool, collect the data and also support the data analysis work.",,"1. Literatures reading and take training to understand the material, devices and applications.
2. Take training of the softwares, testing tools or clean room protocols. Depending on specific job assigned.
3. Perform the specific process/testing/simulation work under guidance. Depending on specific job assigned.
4. Data analysis under guidance.
5. Assist to prepare slides or reports.",IME,MEMS,Liu Chen,"4 Fusionopolis Way, Kinesis Tower, Level 10, Singapore 138635",Engineering & Technology,1
Generation of complex 3D in vitro human skin models to study chronic wounds,"Patients with chronic wounds suffer from painful lesions that do not heal and often become infected. Chronic wounds result in functional impairment, depression, reduce the quality of life of patients, and often lead to serious events such as limb amputations (4 per day in Singapore) and premature death. There is an urgent need to develop a cruelty-free, ‘living’ human skin-in-a-dish model, that recapitulates different features of chronic wounds. This model will be used to better understand the mechanisms of hard-to-heal wounds, as well as to test new therapeutics against chronic wounds.","The student will be trained in a research and development environment, will acquire practical skills in 2D and 3D cell cultures, molecular biology, immunohistochemistry techniques, and will understand the value of a Cell Biobank. The intern will be exposed to a clean lab environment that follows operational standard procedures (SOPs) and good laboratory practice (GLP) standards. The student will acquire skills that will greatly complement classroom trainings. We intend to cultivate the student’s interests in research as a career.","The student will contribute to the development of in vitro 3D human skin models. The student will conduct experiments, analyze the results, and present to the team during lab meeting.","The student should have some experience in cell cultures, molecular and cellular biology, cell-based assays.","You will be contributing in the development of in vitro 3D human skin models, for testing new therapeutics for chronic wounds. ",A*SRL,Model Development ,Carine Bonnard,"11 Mandalay Road, #17-01 Clinical Sciences Building, Singapore 308232",Biomedical Sciences,1
Design of customizable devices for cutaneous drug delivery and diagnostics,"Three-dimensional (3D) printing has been gaining interest for application across various industries. 3D printing enables user customization and production of geometrically-defined and complex constructs, thus enabling personalization of prototypes. In the field of medical technology, 3D printing has been studied for the fabrication of various personalized devices with products in the market such as hearing aids, teeth aligners etc. Herein, we aim to design and fabricate customizable, 3D-printed, skin-interfacing medical devices, such as microneedles, for drug delivery and diagnostic applications. Microneedles are particularly attractive because they are minimally-invasive devices that can be used for the delivery of various therapeutic payloads as well as sensing of bioactive molecules in the skin. Various materials, designs and print parameters will be explored to optimize the efficacy in the performance of these devices on ex vivo skin samples with the goal of developing these devices for in-human clinical application.","1. Understand the unmet clinical needs for cutaneous delivery and diagnostics
2. Familiarity with 3D printing techniques, principles of operations, materials, and their applications across various industries
3. Able to create printable models through the use of computer-aided design (CAD)
4. Critical thinking and decision making in experiments
5. Scientific thinking and communication including literature review and analysis, data presentation and scientific writing","1. Perform experiments, follow SOP and protocols well
2. Comply with mandated health and safety, ethical requirements
3. Provide technical support for other team members",Prior knowledge of CAD design will be advantageous.,You will be contributing to the described project. ,A*SRL,Model Development ,Kun Liang,"8A Biomedical Grove, #06-06, Immunos, Singapore 138648",Engineering & Technology,1
Development of biomimetic scaffolds for skin regeneration and wound healing,"3D human skin constructs (HSC)s in vitro have been widely used for many applications. However, current strategies to generate 3D skin models are tedious, labour intensive and suffers from lack of reproducibility. To overcome this issue, 3D skin models can be generated by using additive manufacturing technology. Otherwise known as bioprinting, the semi-automated platform enables the deposition of multiple materials and cells with spatial precision, allowing improved structural and compositional complexity that can further recapitulate native human skin. In this project, we aim to generate biomimetic scaffolds bioinks based on components of the native skin extracellular matrix (ECM) – collagen, elastic, glycosaminoglycans etc. To ensure the bioinks can be used for the generation of bioprinted HSCs, the printability and biocompatibility of the formulations will be investigated. ","1. Understand the prinicples of tissue engineering and bioprinting 
2. Familiarity with experimental techniques including aseptic preparations, tissue/cell culture, bioprinting and biochemical assays 
3. Critical thinking and data analysis
4. Experimental design and troubleshooting
5. Scientific thinking and communication including literature review and analysis, data presentation and scientific writing","1. Perform experiments, follow SOP and protocols well
2. Comply with mandated health and safety, ethical requirements
3. Provide technical support for other team members","Knowledge of skin biology, physiology and ECM will be advantageous.",You will be contributing to the described project. ,A*SRL,Model Development ,Kun Liang,"8A Biomedical Grove, #06-06, Immunos, Singapore 138648",Physical Sciences,1
Development of biophotonics platform for MedTech applications,"During this internship, the student will get hands-on experience with various optical spectroscopy and imaging systems and how to develop certain new platforms and also on data processing algorithms to cater to the requirement for specific biomedical applications. Students will be working under the guidance of multidisciplinary research scientists in the lab and necessary training will be provided.
 
 ","Students will gain knowledge on experimental skills in optical spectroscopy technologies, nanophotonics, nanomaterials for biosensing and related data processing, including AI approaches.","After proper training, student will help in routine measurement using Raman/reflectance/fluorescence spectroscopy and also in basic data analysis ",,,A*SRL,Translational Biophotonics Lab,Dinish U.S,"31 Biopolis Way, Nanos #07-01 Singapore 138669",Biomedical Sciences,1
AI-enabled Quality of Service (QoS)-Aware Model for Optimal Resource Allocation in Edge based Manufacturing Networks,"In today's interconnected manufacturing systems, the efficient allocation of resources and reliable communication are paramount. The discrepancy in real-time state synchronization between manufacturing processes, edge-based distributed systems, and intelligence must be minimized. To address this challenge, this research project focuses on developing a Quality of Service (QoS) aware model to accurately classify and assess the perceived quality of manufacturing network services into application types and different levels to optimize resource allocation. Manufacturing network services to be studied include monitoring and controls, robot operations, video streaming, and real-time analytics.   This project also investigates the use of artificial intelligence techniques in the QoS aware model to extract relevant performance features from large manufacturing network services datasets and to model complex patterns of manufacturing network traffic.","•	Investigate into techniques to classify complex industrial network performance.
•	Perform thorough study on standardization of communication descriptors for QoS in manufacturing.
•	Build suitable deep learning models for the proposed application
•	Develop automated translation of raw industrial data into application and operation-Based context including application types.
",To design and develop deep learning-driven capabilities for intelligent edge computing services in 5G-and-beyond industrial networks. ,"•	Proficient in C, C++ and Python programming
•	Team player and strong interpersonal and communication (verbal & written) skills. 
•	Strong analytical and problem-solving skills. 
•	Motivated self-starter with a strong enthusiasm to learn. 
•	Results-oriented with a strong sense of ownership in delivering for members and stakeholders. 
•	Prior experience working in data-driven related wireless communications projects is a plus. 

 
",Research Engineer,ARTC,Smart Virtual Systems,Cheng Leong (Lin Qianlong) Lim,"3 Cleantech Loop, #01/01 CleanTech Two, Singapore 637143",Engineering & Technology,1
